Ft. Campbell,,,,
Point,Lat,Lon,Description,Altitude
1,36.628101,-87.471129,AAS,158
2,36.628735,-87.471588,.,158
3,36.62916,-87.471724,.,158
4,36.629825,-87.477136,.,158
5,36.627428,-87.477914,.,158
6,36.627498,-87.47888,.,158
7,36.624916,-87.479456,.,158
8,36.62271,-87.481044,.,158
9,36.621781,-87.481866,.,158
10,36.619581,-87.482581,.,158
11,36.618824,-87.48305,.,158
12,36.617429,-87.474178,.,158
13,36.616573,-87.471222,.,158
135,36.616598,-87.471768,,158
14,36.616274,-87.469751,.,153
15,36.616004,-87.466394,.,138
16,36.615601,-87.462782,.,154
17,36.615419,-87.461397,.,157
18,36.615253,-87.45799,.,159
185,36.614978,-87.456418,,159
187,36.614898,-87.454761,,163
189,36.614843,-87.453479,,164
19,36.614789,-87.45251,.,162
190,36.614455,-87.452358,,160
20,36.613443,-87.451866,.,159
21,36.612733,-87.450859,Turn Around,158
