Ft. Campbell,,,
Point,Lat,Lon,Description
1,36.628101,-87.471129,AAS
2,36.628735,-87.471588,.
3,36.62916,-87.471724,.
4,36.629825,-87.477136,.
5,36.627428,-87.477914,.
6,36.627498,-87.47888,.
7,36.624916,-87.479456,.
8,36.62271,-87.481044,.
9,36.621781,-87.481866,.
10,36.619581,-87.482581,.
11,36.618824,-87.48305,.
12,36.617429,-87.474178,.
13,36.616573,-87.471222,.
14,36.61633,-87.468851,.
15,36.61611,-87.466572,.
16,36.615963,-87.465162,.
17,36.615791,-87.463355,.
18,36.615253,-87.45799,.
19,36.614789,-87.45251,.
20,36.613443,-87.451866,.
21,36.612733,-87.450859,Turn Around
